2026-03-19 18:02:07,817 | modules.data_loader  | INFO  |   BTC/USDT 5m — 201000 bougies téléchargées (→ 2022-11-29)
2026-03-19 18:02:10,211 | modules.data_loader  | INFO  |   BTC/USDT 5m — 210000 bougies téléchargées (→ 2022-12-31)
2026-03-19 18:02:10,481 | modules.data_loader  | INFO  |   BTC/USDT 5m — 211000 bougies téléchargées (→ 2023-01-03)
2026-03-19 18:02:13,467 | modules.data_loader  | INFO  |   BTC/USDT 5m — 220000 bougies téléchargées (→ 2023-02-03)
2026-03-19 18:02:13,733 | modules.data_loader  | INFO  |   BTC/USDT 5m — 221000 bougies téléchargées (→ 2023-02-07)
2026-03-19 18:02:16,255 | modules.data_loader  | INFO  |   BTC/USDT 5m — 230000 bougies téléchargées (→ 2023-03-10)
2026-03-19 18:02:16,605 | modules.data_loader  | INFO  |   BTC/USDT 5m — 231000 bougies téléchargées (→ 2023-03-14)
2026-03-19 18:02:19,510 | modules.data_loader  | INFO  |   BTC/USDT 5m — 240000 bougies téléchargées (→ 2023-04-14)
2026-03-19 18:02:19,766 | modules.data_loader  | INFO  |   BTC/USDT 5m — 241000 bougies téléchargées (→ 2023-04-17)
2026-03-19 18:02:22,396 | modules.data_loader  | INFO  |   BTC/USDT 5m — 250000 bougies téléchargées (→ 2023-05-19)
2026-03-19 18:02:22,653 | modules.data_loader  | INFO  |   BTC/USDT 5m — 251000 bougies téléchargées (→ 2023-05-22)
2026-03-19 18:02:25,134 | modules.data_loader  | INFO  |   BTC/USDT 5m — 260000 bougies téléchargées (→ 2023-06-22)
2026-03-19 18:02:25,514 | modules.data_loader  | INFO  |   BTC/USDT 5m — 261000 bougies téléchargées (→ 2023-06-26)
2026-03-19 18:02:28,465 | modules.data_loader  | INFO  |   BTC/USDT 5m — 270000 bougies téléchargées (→ 2023-07-27)
2026-03-19 18:02:28,725 | modules.data_loader  | INFO  |   BTC/USDT 5m — 271000 bougies téléchargées (→ 2023-07-30)
2026-03-19 18:02:31,453 | modules.data_loader  | INFO  |   BTC/USDT 5m — 280000 bougies téléchargées (→ 2023-08-31)
2026-03-19 18:02:31,722 | modules.data_loader  | INFO  |   BTC/USDT 5m — 281000 bougies téléchargées (→ 2023-09-03)
2026-03-19 18:02:34,520 | modules.data_loader  | INFO  |   BTC/USDT 5m — 290000 bougies téléchargées (→ 2023-10-04)
2026-03-19 18:02:34,774 | modules.data_loader  | INFO  |   BTC/USDT 5m — 291000 bougies téléchargées (→ 2023-10-08)
2026-03-19 18:02:37,967 | modules.data_loader  | INFO  |   BTC/USDT 5m — 300000 bougies téléchargées (→ 2023-11-08)
2026-03-19 18:02:38,229 | modules.data_loader  | INFO  |   BTC/USDT 5m — 301000 bougies téléchargées (→ 2023-11-12)
2026-03-19 18:02:40,580 | modules.data_loader  | INFO  |   BTC/USDT 5m — 310000 bougies téléchargées (→ 2023-12-13)
2026-03-19 18:02:40,840 | modules.data_loader  | INFO  |   BTC/USDT 5m — 311000 bougies téléchargées (→ 2023-12-16)
2026-03-19 18:02:43,184 | modules.data_loader  | INFO  |   BTC/USDT 5m — 320000 bougies téléchargées (→ 2024-01-17)
2026-03-19 18:02:43,444 | modules.data_loader  | INFO  |   BTC/USDT 5m — 321000 bougies téléchargées (→ 2024-01-20)
2026-03-19 18:02:45,855 | modules.data_loader  | INFO  |   BTC/USDT 5m — 330000 bougies téléchargées (→ 2024-02-20)
2026-03-19 18:02:46,110 | modules.data_loader  | INFO  |   BTC/USDT 5m — 331000 bougies téléchargées (→ 2024-02-24)
2026-03-19 18:02:48,760 | modules.data_loader  | INFO  |   BTC/USDT 5m — 340000 bougies téléchargées (→ 2024-03-26)
2026-03-19 18:02:49,159 | modules.data_loader  | INFO  |   BTC/USDT 5m — 341000 bougies téléchargées (→ 2024-03-30)
2026-03-19 18:02:52,182 | modules.data_loader  | INFO  |   BTC/USDT 5m — 350000 bougies téléchargées (→ 2024-04-30)
2026-03-19 18:02:52,532 | modules.data_loader  | INFO  |   BTC/USDT 5m — 351000 bougies téléchargées (→ 2024-05-03)
2026-03-19 18:02:55,492 | modules.data_loader  | INFO  |   BTC/USDT 5m — 360000 bougies téléchargées (→ 2024-06-03)
2026-03-19 18:02:55,795 | modules.data_loader  | INFO  |   BTC/USDT 5m — 361000 bougies téléchargées (→ 2024-06-07)
2026-03-19 18:02:58,867 | modules.data_loader  | INFO  |   BTC/USDT 5m — 370000 bougies téléchargées (→ 2024-07-08)
2026-03-19 18:02:59,204 | modules.data_loader  | INFO  |   BTC/USDT 5m — 371000 bougies téléchargées (→ 2024-07-12)
2026-03-19 18:03:01,724 | modules.data_loader  | INFO  |   BTC/USDT 5m — 380000 bougies téléchargées (→ 2024-08-12)
2026-03-19 18:03:02,487 | modules.data_loader  | INFO  |   BTC/USDT 5m — 381000 bougies téléchargées (→ 2024-08-15)
2026-03-19 18:03:04,954 | modules.data_loader  | INFO  |   BTC/USDT 5m — 390000 bougies téléchargées (→ 2024-09-16)
2026-03-19 18:03:05,234 | modules.data_loader  | INFO  |   BTC/USDT 5m — 391000 bougies téléchargées (→ 2024-09-19)
